location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Ireland,29/02/2020,1,1,,,,,0.203,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,01/03/2020,1,0,,,,,0.203,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,02/03/2020,1,0,,,,,0.203,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,03/03/2020,2,1,,,,,0.405,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,04/03/2020,6,4,,,,,1.215,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,05/03/2020,6,0,0.857,,,0,1.215,0,0.174,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,06/03/2020,18,12,2.571,,,0,3.645,2.43,0.521,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,07/03/2020,18,0,2.429,,,0,3.645,0,0.492,,,0,,,,18,3.645,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,08/03/2020,19,1,2.571,,,0,3.848,0.203,0.521,,,0,,,,17,3.443,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,09/03/2020,21,2,2.857,,,0,4.253,0.405,0.579,,,0,,,,18,3.645,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,10/03/2020,34,13,4.571,,,0,6.886,2.633,0.926,,,0,,,,26,5.266,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,11/03/2020,43,9,5.286,1,1,0.143,8.708,1.823,1.07,0.203,0.203,0.029,,,,32,6.481,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,12/03/2020,43,0,5.286,1,0,0.143,8.708,0,1.07,0.203,0,0.029,,,,44,8.911,,,,,,,,,,,,,,,,,,,,,,,31.48,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,13/03/2020,90,47,10.286,1,0,0.143,18.227,9.518,2.083,0.203,0,0.029,,,,36,7.291,,,,,,,,,,,,,,,,,,,,,,,42.59,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,14/03/2020,129,39,15.857,2,1,0.286,26.125,7.898,3.211,0.405,0.203,0.058,,,,38,7.696,,,,,,,,,,,,,,,,,,,,,,,42.59,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,15/03/2020,129,0,15.714,2,0,0.286,26.125,0,3.182,0.405,0,0.058,2.52,,,41,8.303,,,,,,,,,,,,,,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,16/03/2020,169,40,21.143,2,0,0.286,34.226,8.101,4.282,0.405,0,0.058,2.62,,,55,11.139,,,,,,,,,,,,,,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,17/03/2020,223,54,27,2,0,0.286,45.162,10.936,5.468,0.405,0,0.058,2.72,,,61,12.354,,,,,,,,,,,,,,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,18/03/2020,292,69,35.571,2,0,0.143,59.136,13.974,7.204,0.405,0,0.029,2.82,,,80,16.202,,,,,,6457,1.308,,,,,,tests performed,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,19/03/2020,557,265,73.429,3,1,0.286,112.803,53.668,14.871,0.608,0.203,0.058,2.87,,,98,19.847,,,,,946,7403,1.499,0.192,,,,,tests performed,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,20/03/2020,683,126,84.714,3,0,0.286,138.321,25.517,17.156,0.608,0,0.058,2.67,,,133,26.935,,,,,1469,8872,1.797,0.298,,,,,tests performed,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,21/03/2020,785,102,93.714,3,0,0.143,158.978,20.657,18.979,0.608,0,0.029,2.51,,,151,30.58,,,,,1564,10436,2.113,0.317,,,,,tests performed,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,22/03/2020,906,121,111,4,1,0.286,183.483,24.505,22.48,0.81,0.203,0.058,2.4,,,177,35.846,,,,,978,11414,2.312,0.198,,,,,tests performed,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,23/03/2020,1125,219,136.571,6,2,0.571,227.834,44.352,27.658,1.215,0.405,0.116,2.29,,,218,44.149,,,,,2581,13995,2.834,0.523,,,,,tests performed,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,24/03/2020,1329,204,158,7,1,0.714,269.148,41.314,31.998,1.418,0.203,0.145,2.17,,,239,48.402,,,,,1566,15561,3.151,0.317,,,,,tests performed,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,25/03/2020,1564,235,181.714,9,2,1,316.741,47.592,36.801,1.823,0.405,0.203,2.05,,,290,58.731,,,,,1775,17336,3.511,0.359,1554,0.315,0.117,8.6,tests performed,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,26/03/2020,1819,255,180.286,19,10,2.286,368.383,51.642,36.511,3.848,2.025,0.463,1.9,,,331,67.034,,,,,3376,20712,4.195,0.684,1901,0.385,0.095,10.5,tests performed,,,,,,,,,,57.41,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,27/03/2020,2121,302,205.429,22,3,2.714,429.544,61.161,41.603,4.455,0.608,0.55,1.86,68,13.771,380,76.957,,,,,2941,23653,4.79,0.596,2112,0.428,0.097,10.3,tests performed,,,,,,,,,,75.93,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,28/03/2020,2415,294,232.857,36,14,4.714,489.085,59.541,47.158,7.291,2.835,0.955,1.8,80,16.202,442,89.514,,,,,2206,25859,5.237,0.447,2203,0.446,0.106,9.5,tests performed,,,,,,,,,,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,29/03/2020,2615,200,244.143,46,10,6,529.589,40.504,49.444,9.316,2.025,1.215,1.74,96,19.442,513,103.893,,,,,1616,27475,5.564,0.327,2294,0.465,0.106,9.4,tests performed,,,,,,,,,,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,30/03/2020,2910,295,255,54,8,6.857,589.332,59.743,51.642,10.936,1.62,1.389,1.68,107,21.67,571,115.639,,,,,1397,28872,5.847,0.283,2125,0.43,0.12,8.3,tests performed,,,,,,,,,,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,31/03/2020,3235,325,272.286,71,17,9.143,655.151,65.819,55.143,14.379,3.443,1.852,1.62,120,24.302,596,120.702,,,,,1928,30800,6.238,0.39,2177,0.441,0.125,8,tests performed,,,,,,,,,,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,01/04/2020,3447,212,269,85,14,10.857,698.085,42.934,54.478,17.214,2.835,2.199,1.55,128,25.922,656,132.853,,,,,2009,32809,6.644,0.407,2210,0.448,0.122,8.2,tests performed,,,,,,,,,,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,02/04/2020,3849,402,290,98,13,11.286,779.498,81.413,58.731,19.847,2.633,2.286,1.52,132,26.733,655,132.65,,,,,1975,34784,7.044,0.4,2010,0.407,0.144,6.9,tests performed,,,,,,,,,,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,03/04/2020,4273,424,307.429,120,22,14,865.366,85.868,62.26,24.302,4.455,2.835,1.52,137,27.745,704,142.574,,,,,1857,36641,7.421,0.376,1855,0.376,0.166,6,tests performed,,,,,,,,,,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,04/04/2020,4604,331,312.714,137,17,14.429,932.4,67.034,63.331,27.745,3.443,2.922,1.54,140,28.353,738,149.459,,,,,1849,38490,7.795,0.374,1804,0.365,0.173,5.8,tests performed,,,,,,,,,,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,05/04/2020,4994,390,339.857,158,21,16,1011.382,78.983,68.828,31.998,4.253,3.24,1.55,139,28.15,702,142.169,3.979,0.806,165.109,33.438,2831,41321,8.368,0.573,1978,0.401,0.172,5.8,tests performed,,,,,,,,,,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,06/04/2020,5364,370,350.571,174,16,17.143,1086.315,74.932,70.998,35.238,3.24,3.472,1.54,144,29.163,829,167.889,,,,,6117,47438,9.607,1.239,2652,0.537,0.132,7.6,tests performed,,,,,,,,,,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,07/04/2020,5709,345,353.429,210,36,19.857,1156.184,69.869,71.576,42.529,7.291,4.021,1.55,143,28.96,828,167.686,,,,,1853,49291,9.982,0.375,2642,0.535,0.134,7.5,tests performed,,,,,,,,,,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,08/04/2020,6074,365,375.286,235,25,21.429,1230.103,73.92,76.003,47.592,5.063,4.34,1.58,146,29.568,837,169.509,,,,,3728,53019,10.737,0.755,2887,0.585,0.13,7.7,tests performed,,,,,,,,,,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,09/04/2020,6574,500,389.286,263,28,23.571,1331.363,101.26,78.838,53.263,5.671,4.774,1.63,151,30.58,838,169.711,,,,,5487,58506,11.849,1.111,3389,0.686,0.115,8.7,tests performed,,,,,,,,,,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,10/04/2020,8089,1515,545.143,287,24,23.857,1638.18,306.817,110.402,58.123,4.86,4.832,1.71,155,31.391,825,167.079,,,,,6959,65465,13.258,1.409,4118,0.834,0.132,7.6,tests performed,,,,,,,,,,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,11/04/2020,8928,839,617.714,320,33,26.143,1808.094,169.914,125.099,64.806,6.683,5.294,1.66,155,31.391,856,173.357,,,,,6990,72455,14.674,1.416,4852,0.983,0.127,7.9,tests performed,,,,,,,,,,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
Ireland,12/04/2020,9655,727,665.857,334,14,25.143,1955.326,147.232,134.849,67.642,2.835,5.092,1.59,148,29.973,853,172.749,46.748,9.467,279.492,56.603,5722,78177,15.832,1.159,5265,1.066,0.126,7.9,tests performed,,,,,,,,,,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
